manuscript_panel,measurement,unit,value,genotype_raw,rnai,replicate_id
Fig_S7C,Normalized pAMPK intensity per NSC,normalized intensity (a.u.),0.8919033555835671,Complex V RNAi,Complex V,b35
Fig_S7C,Normalized pAMPK intensity per NSC,normalized intensity (a.u.),0.8473211088076408,Complex V RNAi,Complex V,b35
Fig_S7C,Normalized pAMPK intensity per NSC,normalized intensity (a.u.),0.8249629876250378,Complex V RNAi,Complex V,b35
Fig_S7C,Normalized pAMPK intensity per NSC,normalized intensity (a.u.),0.8747351707071571,Complex V RNAi,Complex V,b36
Fig_S7C,Normalized pAMPK intensity per NSC,normalized intensity (a.u.),0.8390827728453439,Complex V RNAi,Complex V,b36
Fig_S7C,Normalized pAMPK intensity per NSC,normalized intensity (a.u.),0.9261559780930876,Complex V RNAi,Complex V,b36
Fig_S7C,Normalized pAMPK intensity per NSC,normalized intensity (a.u.),0.8663460897069211,Complex V RNAi,Complex V,b36
Fig_S7C,Normalized pAMPK intensity per NSC,normalized intensity (a.u.),0.7121698075708088,Complex V RNAi,Complex V,b37
Fig_S7C,Normalized pAMPK intensity per NSC,normalized intensity (a.u.),0.7946273433235568,Complex V RNAi,Complex V,b37
Fig_S7C,Normalized pAMPK intensity per NSC,normalized intensity (a.u.),0.8349576229182456,Complex V RNAi,Complex V,b37
Fig_S7C,Normalized pAMPK intensity per NSC,normalized intensity (a.u.),0.8336655225930523,Complex V RNAi,Complex V,b37
Fig_S7C,Normalized pAMPK intensity per NSC,normalized intensity (a.u.),0.8245921069761399,Complex V RNAi,Complex V,b38
Fig_S7C,Normalized pAMPK intensity per NSC,normalized intensity (a.u.),0.7800648941029531,Complex V RNAi,Complex V,b38
Fig_S7C,Normalized pAMPK intensity per NSC,normalized intensity (a.u.),0.9009959134275196,Complex V RNAi,Complex V,b38
Fig_S7C,Normalized pAMPK intensity per NSC,normalized intensity (a.u.),1.1119025781747545,Complex V RNAi,Complex V,b39
Fig_S7C,Normalized pAMPK intensity per NSC,normalized intensity (a.u.),0.7616835705878895,Complex V RNAi,Complex V,b39
Fig_S7C,Normalized pAMPK intensity per NSC,normalized intensity (a.u.),0.8172797762468981,Complex V RNAi,Complex V,b39
Fig_S7C,Normalized pAMPK intensity per NSC,normalized intensity (a.u.),0.912931091986897,Complex V RNAi,Complex V,b39
Fig_S7C,Normalized pAMPK intensity per NSC,normalized intensity (a.u.),0.7489563823847362,Complex V RNAi,Complex V,b39
Fig_S7C,Normalized pAMPK intensity per NSC,normalized intensity (a.u.),0.8936261560171582,Complex V RNAi,Complex V,b39
